keyword,tweet
gojek,@Ordinaryjhonny kalo di tangsel aku lebih ke gojek yg promonya gedee
gojek,@adnardn Raja sedang memantau rakyat sambil memesan gojek hemat🫡✨
gojek,@Ordinaryjhonny tp gojek klo baru promo jauh murah jirrr asal akunnya lebih dr 1🙏🏻
gojek,"Ada apa si orang2 yang demen suruh nunggu gojek
Kata gue apa susahnya si lo pesen pas udah sampe titik

Heran."
gojek,"@ruang_comment @aishiteRIE2124 Di gojek, drivernya ada tombol matiin gojek hemat, meski tu driver depan mata bejibun, klo mereka ga hidupin yg hemat ya ga bakalan masuk."
gojek,INI AMANG GOJEK NYA SPEK RACING KAHHH
gojek,@bihunnyamnyam gojek mana yg tembus 100juta bjir amat itu orang
gojek,"hallo! aku masih open nokos sampe maleman yaa, ready nokos wa, gojek, kopken, ovo, dana, grab, tokped, tiktok dan apk lainnya yaa! fastrespon ke wa yaa💖 #zonauang"
gojek,"Biasain pesen gojek waktu LO udah sampe di titik, karena waktu abangnya adalah duit bagi dia. Keluar gate stasiun selalu ngantre anjg dan itu gak sedetik dua detik, minimal pake otaknya sebelum mutus rezeki orang dengan komplain karena kegoblokan lo sendiri https://t.co/Z7UUcS7bZD"
gojek,@magenfoxyta @ainurohman Gojek nya mah gapapa
gojek,"Tergantung sih, kalau event biasanya grab lebih banyak potongan nya di gue, kalau lagi beruntung gojek kepotong bisa sampe 80%, tapi kalau iseng jajan nominal kecil better shopeefood

Yang pasti selalu bandingin ketiga nya dulu sebelum gas pesen wkwkwk"
gojek,"@onsafval demi Allah iya anjir nge prank gojek, baterai tinggal 1%, udah di suruh pulang tapi masih di jkt"
gojek,@miawxl gojek yang paling setia🫰🏼🫰🏼
gojek,mau keliling sm abang gojek biar bisa nangis di jalan
gojek,"plis dia gojek, bukan supir pribadi lo https://t.co/rVC5YHjPq4"
gojek,"@6_arung Kalau di kreta banyak kayak gini, belum juga nyampe lokasi udah pesen gojeknya. Sempet ngeliat juga yang baru jalan dari jurang mangu langsung pesen gojek di sudimara. Ampun emang."
gojek,Yah klo di Cancel sisa Order lagi kan. Klo lo aja nggak bisa nunggu kenapa mereka mesti nunggu lo kayak Raja gitu? Mesen gojek jg ada mannernya woiy. Malu2in aja https://t.co/ySjn0vHKYZ
gojek,"Gue pikir abang gojek ngajak ngomong gue, ternyata dia NYANYI 😂 duh maaf bang, w rada budeg kalo di jalanan 🤣🤣🤣"
gojek,"Guys ke gojek skrngg, buka godinein, yoshinoya diskon 50%😭

Segini banyak under 100k https://t.co/ulJOByaxR9"
gojek,TAKUT BGT JIR gua lewat kalimalang naik gojek hampir kesepak spion TRUK COK😭😭ya tuhan nyawa aku merosot 40%😭
gojek,"Ini lebih kek algorithm, gak, sih? Makin sering pake 1 app, diskonnya makin banyak gitu. 

Grep kalo lagi royal ngasih diskonan, syopiput jadi lebih berasa mahal. 

Cuman syopiput flash sale gila²an.

Gojek yagitulah. Landai dari dulu. Pede dengan jalurnya sendiri."
gojek,"Another org bodoh di X. Kalau psen gojek itu klo uda siap d titik jemput jgan bkin driver nunggu lama, bagi driver waktu itu berhrga oi ckckk https://t.co/Wqq8xKMlFd"
gojek,@Ordinaryjhonny krn gue suka bandingin di 3 apps ini hasilnya gak selalu sih..  kadang gojek jg murah krn promonya gede2
gojek,"dr td nyari gojek gak ad yang nyantol, mana laper lagi😔"
gojek,"Shopeefood Diskon 100% s/d 35rb minbel 20K. Semua resto, akun tertentu ‼️‼️

Cek dan klaim di resto ini 👇
https://t.co/tboY5WoY0a
https://t.co/tboY5WoY0a

t. gofood grabfood kode promo go grab shopee food sfood voucher daget gojek gratis ongkir https://t.co/OphYJzUjRu"
gojek,"Ayam Koplo by Hangry on SHOPEEFOOD DISKON jadi 7Ka an aja ✨😭 Nasi Ayam Goreng Penyet + Sambel 🍗 

Pakai voucher disini sekarang👇👇
https://t.co/UTasA2Zcdw
https://t.co/UTasA2Zcdw

t. gofood grabfood kode promo go grab shopee food sfood daget gojek thr shopeepay https://t.co/grKpaQojBo"
gojek,"Shopeefood Diskon 90% s/d 25rb ‼️ Khusus untuk resto tertentu! 🍝🍜

Cek dan klaim dari resto ini 👇
https://t.co/doSg7ARsJ8

t. gofood grabfood kode promo go grab shopee food sfood voucher gojek https://t.co/S79GiYXH63"
gojek,"WINGSTOP SHOPEEFOOD DISKON jadi 5K aja Combo 3 Boneless 🤤🍗🐔

‼️ Klaim voucher nya disini sebelum habis 👇👇
https://t.co/D3iHNzk5AI
https://t.co/D3iHNzk5AI

daget gofood grabfood kode promo go grab shopee food sfood voucher gojek thr shopeepay https://t.co/ZO9VkkOJS7"
gojek,"‼️ Voucher diskon 100% max 40rb! Bisa semua resto ✨

Klaim di resto ini sebelum habis 👇👇👇
https://t.co/p9LzoEogsv
https://t.co/p9LzoEogsv

t. gofood grabfood shopeefood kode promo go grab shopee food gojek daget gratis ongkir thr dana kaget https://t.co/CZFcKOCjNc"
gojek,"Ada potongan Moon Chicken 🥳 klaim voucher nya di halaman resto (siapa tau hoki) ✨️
👍 https://t.co/gwckoCbPef

Diskon gofood grabfood shopeefood kode promo go grab shopee food daget gojek thr shopeepay https://t.co/odZc1q8nFW"
gojek,@jaedynation_ Kak baru aja aku kemaren pake helm gojek sampe lobby gedung fakultasku ^_^ untungnya kenotice satpam WKWKWK
gojek,@kimjauun UDAH YAA AKU GAMAU IKUT GOJEK KAMU. BAU
gojek,"Dari Pada Blonde Creamy Latte DISKON jadi 2K-an aja bisa pick up ✨

‼️ Klaim voucher-nya di sini sebelum habis 👇👇
https://t.co/4uue6niSc7
https://t.co/4uue6niSc7

t. daget gofood grabfood kode promo go grab shopee food jerome sfood gojek kopi https://t.co/s0fL2vNYLj"
gojek,@tanyakanrl sama cowo greenflag alias gojek https://t.co/CqnsvABtmc
gojek,@Peonylylee Serius..aku slalu pake gojek wkwk😭😭😭😭🥲🥲🥲🥲🥲
gojek,gojek bogor kabupaten pembalap semua..jalan kecil ngebut banget.
gojek,"Ya blm pesen fm dong gwhh. SAMPE SET9, DIA GA ADA KABAR, gw call taunya baru mau makan. ORGILL GW KELAPERAN SETENGAH MAMPUS BALIK KERJA LANJUT NGERJAIN KERJAAN, TERUS ZOOM. Dahlah langsung pesen bakso di gojek. Sengaja pesen yang jaraknya deket cuma 1.1 KM"
